,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
111,111,Iceland,2022-04-26,185353,99,119,5,75685,0,109549,0,536852,345.0,1953616,5658407,345259
112,112,Maldives,2022-04-26,179171,0,298,0,163687,0,15186,25,321208,534.0,2213831,3968840,557803
113,113,Afghanistan,2022-04-26,178769,24,7683,0,161812,22,9274,1124,4412,190.0,942028,23250,40517414
114,114,Uganda,2022-04-26,164069,0,3596,0,100205,0,60268,2,3393,74.0,2612795,54030,48358437
115,115,El Salvador,2022-04-26,162089,0,4128,0,150662,0,7299,8,24763,631.0,1950448,297981,6545552
116,116,Ghana,2022-04-26,161157,0,1445,0,159669,0,43,1,4997,45.0,2434977,75506,32248654
117,117,Namibia,2022-04-26,158427,48,4025,0,153662,0,740,0,60369,1534.0,1003093,382229,2624324
118,118,Martinique,2022-04-26,153253,1895,926,4,104,0,152223,8,408961,2471.0,828928,2212026,374737
119,119,Trinidad and Tobago,2022-04-26,145597,576,3817,1,134384,306,7396,18,103429,2712.0,698981,496539,1407706
120,120,Brunei ,2022-04-26,141405,136,218,0,140249,197,938,0,317710,490.0,717784,1612726,445075
121,121,Guadeloupe,2022-04-26,140130,0,854,0,2250,0,137026,19,350108,2134.0,938039,2343644,400248
122,122,Cambodia,2022-04-26,136230,2,3056,0,132968,23,206,0,7949,178.0,2950043,172130,17138485
123,123,Rwanda,2022-04-26,129773,6,1458,0,45522,0,82793,0,9589,108.0,5243325,387415,13534118
124,124,Jamaica,2022-04-26,129681,49,2949,1,83144,76,43588,0,43450,988.0,989308,331470,2984604
125,125,Cameroon,2022-04-26,119780,0,1927,0,117791,0,62,13,4317,69.0,1751774,63142,27743456
126,126,Angola,2022-04-26,99194,0,1900,0,97149,0,145,0,2857,55.0,1499795,43198,34718761
127,127,Malta,2022-04-26,91032,259,693,1,85523,372,4816,4,205177,1562.0,1876155,4228670,443675
128,128,DRC,2022-04-26,87023,0,1337,0,50930,0,34756,0,921,14.0,846704,8960,94495223
129,129,Senegal,2022-04-26,85991,2,1967,0,84007,1,17,0,4902,112.0,1066123,60770,17543574
